order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
4,4,CS014,235090,4035600926869,KUECHLE,BAKING WAFERS RND 50MM,14/1.29 OZ,20.86,83.44,1.49,2.69,3.19
4,4,CS021,297113,4006894110104,LAMBERTZ,CHOC GINGERBREAD SPICE,21/7.05 OZ,69.09,276.36,3.29,5.49,5.99
3,3,CS019,297130,4006894247008,LAMBERTZ,DOMINOS CELLO LG,19/8.82 OZ,72.01,216.03,3.79,6.19,6.69
2,2,CS023,297253,4006894261202,LAMBERTZ,DOMINOS AUSLESE MK/DK/WHT23/7.05,23/7.05 OZ,114.77,229.54,4.99,8.09,8.59
5,5,CS021,297310,4006894110203,LAMBERTZ,AACHENER KRÄUTER PRINTEN,21/7.05 OZ,62.79,313.95,2.99,4.99,5.49
1,1,CS012,297519,4006894915914,LAMBERTZ,LEBKUCHENKONFEKT 3 ASST,12/6.18 OZ,65.88,65.88,5.49,8.89,9.39
2,2,CS012,297630,810253012701,LAMBERTZ,GINGERBREAD MAN MK,12/7.06 OZ,45.48,90.96,3.79,6.19,6.69
2,2,CS012,297680,810253012718,LAMBERTZ,GINGERBREAD MAN DK,12/7.06 OZ,45.48,90.96,3.79,6.19,6.69
3,3,CS016,297810,4006894202809,LAMBERTZ,ZIMTSTERNE (CINNAMON,16/6.17 OZ,83.04,249.12,5.19,8.39,8.89
3,3,CS006,297880,4006894392807,LAMBERTZ,UNSERE BESTEN BEST,6/17.65 OZ,77.94,233.82,12.99,20.49,20.99
4,4,CS018,298142,810253012404,LAMBERTZ,PFEFFERNUSSE BAG,18/7 OZ,38.7,154.8,2.15,3.69,4.19
4,4,CS014,293412,4019400444129,LAROSHELL,IRISH CREAM FILLED,14/5.29 OZ,62.86,251.44,4.49,7.29,7.79
4,4,CS014,293418,4019400444181,LAROSHELL,CHERRY BRANDY FILLED,14/5.29 OZ,62.86,251.44,4.49,7.29,7.79
4,4,CS014,293486,4250231144493,LAROSHELL,ORANGE LIQUEUR FILLED,14/5.29 OZ,62.86,251.44,4.49,7.29,7.79
4,4,CS014,293577,4019400445775,LAROSHELL,BRANDY BEANS LARGE,14/14.1 OZ,139.86,559.44,9.99,15.79,16.29
2,2,CS010,293001,693268300014,MAINTAL,MAINTAL ROSEHIP FRUIT,10/11.6 OZ,31.9,63.8,3.19,5.29,5.79
2,2,CS010,293002,693268300021,MAINTAL,MAINTAL PLUM BUTTER FRUIT,10/12 OZ,39.9,79.8,3.99,6.49,6.99
2,2,CS006,293005,693268300052,MAINTAL,MAINTAL WILD LINGONBERRY,6/11.6 OZ,23.94,47.88,3.99,6.49,6.99
1,1,CS012,171001,816095170012,OOOMERINGUES,PEPPERMINT MERINGUE W/,12/4.94 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,171113,816095171132,OOOMERINGUES,VANILLA FLAVORED MERINGUES12/4.59,12/4.59 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,171133,816095171330,OOOMERINGUES,SALTED CARAMEL FLAVORED,12/4.59 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,171134,816095171347,OOOMERINGUES,CHOCOLATE FLAVORED,12/4.59 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,171137,816095711376,OOOMERINGUES,LEMON PIE MERINGUE DROPS,12/4.59 OZ,45.48,45.48,3.79,6.19,6.69
4,4,CS010,183002,816095010028,REBER,CONSTANZE MILK CHOC BAR,10/3.5 OZ,37.9,151.6,3.79,6.19,6.69
2,2,CS036,183005,816095010059,REBER,BLACK FOREST HEARTS IN,36/1.1 OZ,86.04,172.08,2.39,4.09,4.59
2,2,CS020,183129,816095011292,REBER,MOZART PIANO BAR 1,20/1.7 OZ,59.8,119.6,2.99,4.99,5.49
3,3,CS015,183273,816095012732,REBER,MOZART KUGEL 8 PC BAG IN,15/5.6 OZ,137.85,413.55,9.19,14.59,15.09
6,6,CS008,183355,816095013555,REBER,MOZART KUGEL SM. 6 PC BOX,8/4.2 OZ,60.72,364.32,7.59,12.09,12.59
3,3,CS006,183356,816095013562,REBER,MOZART KUGEL MED. 12PC BOX,6/8.5 OZ,88.74,266.22,14.79,23.29,23.79
3,3,CS004,183357,816095013579,REBER,MOZART KUGEL 20 PCS GIFT,4/14.1 OZ,87.96,263.88,21.99,34.39,34.89
4,4,CS010,183401,816095014019,REBER,MOZART DARK CHOCOLATE BAR,10/3.5 OZ,37.9,151.6,3.79,6.19,6.69
2,2,CS090,183510,816095015108,REBER,MOZART KUGEL 2 X 45PC,90/0.7 OZ,116.1,232.2,1.29,2.39,2.89
2,2,CS015,183512,816095015122,REBER,CONSTANZ 8PC MILK KUGELN,15/5.6 OZ,137.85,275.7,9.19,14.59,15.09
3,3,CS008,183515,816095015153,REBER,CONSTANCE MOZART KUGEL 6,8/4.2 OZ,60.72,182.16,7.59,12.09,12.59
2,2,CS022,239020,4013900979020,RIEGELEIN,"CHRISTIMAS ""ICE"" CONFECTION",22/8.8 OZ,76.78,153.56,3.49,5.79,6.29
